278,385
685,527
984,239
70,145
213,954
731,26
95,110
624,48
399,980
716,965
703,700
513,674
576,722
714,785
834,816
956,311
442,552
685,764
885,284
513,288
995,12
44,260
511,563
26,131
339,231
809,587
344,315
16,851
83,691
769,962
962,611
169,905
638,747
65,39
131,67
341,264
907,351
105,849
961,264
732,890
536,783
452,760
516,102
873,134
16,845
566,199
742,238
233,675
230,838
116,916
78,792
684,452
319,535
663,196
952,471
379,179
908,145
145,225
710,282
808,399
285,494
813,758
426,142
368,392
598,892
979,590
713,30
963,119
797,471
777,10
113,398
130,97
129,600
682,818
91,921
856,42
124,714
915,720
209,7
26,556
946,817
984,274
864,691
134,655
695,67
11,551
151,231
199,216
452,392
125,470
750,984
318,372
315,668
162,84
551,558
770,723
694,481
57,444
608,425
785,103
747,367
617,910
415,695
724,108
610,78
325,506
76,11
46,640
772,784
945,900
433,269
317,569
294,633
474,111
533,454
663,507
876,232
464,708
468,786
302,113
109,630
895,58
128,958
20,961
213,443
681,229
707,521
671,771
758,5
85,960
962,52
942,152
293,74
659,932
267,380
241,780
211,538
917,609
943,908
220,693
321,224
240,850
608,365
644,915
946,216
792,395
923,824
376,944
884,896
694,620
463,736
873,712
759,320
213,828
548,651
305,695
859,372
432,656
605,327
247,399
990,750
590,323
429,270
146,713
516,462
806,901
901,228
705,257
228,244
755,935
852,293
593,756
697,706
232,523
701,466
822,890
182,660
515,93
316,914
183,758
288,881
910,134
648,779
870,619
40,585
113,725
538,872
782,494
382,158
233,382
188,289
147,128
54,469
404,349
875,432
644,315
766,780
586,689
757,416
764,978
734,811
469,411
539,350
684,371
22,405
969,70
448,170
474,886
626,453
364,910
751,212
110,924
89,379
990,291
24,241
631,738
465,295
762,709
979,20
945,341
661,178
227,263
194,199
417,838
87,233
839,925
91,874
335,61
717,859
631,199
716,448
338,24
311,8
940,982
413,351
279,210
326,265
683,60
425,13
882,373
527,388
370,470
796,205
971,83
166,383
904,643
709,234
506,358
779,746
1000,43
117,769
891,221
263,487
614,786
863,945
923,256
503,979
368,996
133,3
896,616
264,716
957,504
889,939
420,890
353,874
641,712
561,543
113,403
427,528
791,309
808,957
94,266
907,201
533,116
691,862
504,914
47,381
555,557
249,127
233,151
836,763
83,976
922,413
221,558
942,574
50,648
969,742
151,895
888,131
917,938
810,932
672,580
991,582
269,596
27,610
192,65
618,698
483,264
614,262
122,547
340,520
691,328
917,656
188,947
24,68
757,681
941,23
220,34
124,556
135,418
419,408
155,436
790,418
339,259
569,784
629,327
169,727
255,312
713,926
639,603
89,968
544,902
488,684
391,1000
714,91
469,106
492,949
64,333
300,776
690,239
750,238
842,813
273,601
777,574
209,478
973,401
45,364
330,404
280,463
7,491
301,365
500,809
115,445
9,6
848,847
33,301
26,667
173,673
624,74
477,708
224,307
770,731
706,131
383,480
112,300
166,869
9,72
31,179
891,379
666,765
110,99
709,12
616,637
834,183
459,892
816,718
290,248
370,308
626,41
796,174
94,111
217,948
386,856
642,835
873,117
673,861
874,849
659,398
253,294
500,899
852,478
37,17
28,595
968,567
475,515
260,762
835,332
388,163
932,568
385,14
112,101
896,202
928,292
559,304
156,139
312,322
136,689
136,129
738,438
577,755
527,157
499,735
261,879
386,894
859,68
129,480
989,48
836,616
84,824
171,637
778,232
234,854
219,643
613,906
975,822
25,569
340,489
462,930
560,251
905,809
780,209
821,620
492,730
145,235
250,530
373,547
419,457
398,757
745,256
185,263
936,791
692,510
900,774
280,990
751,110
795,705
441,938
273,752
567,880
515,304
766,902
504,83
610,706
975,450
455,483
855,77
584,245
118,23
549,725
117,792
695,938
741,256
223,940
698,773
373,612
277,938
69,542
224,276
851,991
867,809
439,880
835,375
475,988
346,855
138,668
602,388
827,588
418,732
738,818
635,922
704,154
892,308
801,697
978,912
339,12
268,518
430,212
10,322
791,992
901,106
902,887
553,206
224,561
96,968
951,632
464,57
804,40
276,484
551,112
385,972
286,821
870,302
505,786
119,682
358,37
443,84
631,408
424,49
337,755
961,136
288,795
662,734
174,825
425,398
499,969
593,827
583,661
775,563
170,134
190,19
772,87
112,665
728,990
147,74
283,127
594,352
627,686
47,886
514,697
991,116
282,904
374,274
58,130
681,371
999,661
411,192
326,225
383,109
797,234
44,676
633,241
279,148
322,150
721,933
35,723
689,131
414,207
365,205
260,918
314,737
810,154
883,182
919,33
485,565
954,210
801,652
408,652
755,600
707,62
752,23
782,341
364,768
228,789
809,999
169,838
716,593
992,746
289,856
540,929
270,491
363,202
197,270
683,966
291,729
392,906
974,239
430,129
476,310
241,699
38,205
156,471
963,711
134,200
505,955
376,550
182,477
907,716
381,725
639,186
420,386
575,407
121,938
408,772
61,321
455,143
513,587
578,683
213,375
31,889
535,411
736,741
553,862
216,55
779,694
928,443
583,415
906,592
468,404
775,66
410,613
156,109
597,277
22,551
220,294
654,151
920,83
656,984
826,458
861,412
605,325
185,799
747,820
127,914
716,984
480,55
408,350
506,1000
542,886
189,431
789,207
257,753
879,760
427,100
518,782
814,785
423,973
454,400
675,741
632,376
187,955
94,807
460,632
303,612
856,850
370,318
284,957
378,144
577,870
293,325
809,676
359,242
363,491
109,84
706,30
787,382
39,640
742,894
607,848
405,925
528,719
266,898
181,574
695,403
176,49
180,655
407,98
556,274
631,91
383,909
317,508
707,113
436,485
915,584
896,872
434,945
97,263
48,510
387,741
659,619
202,236
233,37
507,994
346,997
134,464
114,320
768,298
676,732
548,268
778,793
793,854
512,945
119,310
705,173
83,335
146,390
562,755
698,13
675,106
723,487
996,999
922,537
886,899
961,844
597,273
191,916
871,957
741,771
479,978
505,701
849,662
839,447
357,444
715,257
409,933
796,558
366,324
410,148
701,397
984,652
402,361
796,255
774,705
236,242
203,565
811,512
609,808
752,755
166,1
927,575
337,552
617,187
751,354
167,301
39,404
108,664
696,584
368,260
146,919
968,907
961,91
539,779
398,919
872,565
361,38
835,793
449,133
486,876
539,542
20,263
145,970
673,693
649,298
157,657
623,433
231,961
877,665
502,91
414,729
611,642
194,113
954,813
355,314
440,4
807,996
742,584
94,164
243,806
331,930
728,400
304,821
660,456
378,619
800,978
235,945
549,221
726,692
905,149
373,377
505,280
254,263
768,562
340,391
374,280
